res_id,wave,east,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn,hate_justified,MateComp.cont,JobComp.cont,LifeSatis.cont,pop_15_44_muni_gendergap_2015,age,singdivsep,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,lrscale,afd,muslim_ind,afd_ind,contact_ind,refugee_ind,list,treatment_list,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife,women_role
413687849,4,1,3,2,2,2,2,4,1,7,NA,53,0,50-59,Male,Th<fc>ringen,1,Married,"No, I don't feel close to any religion",13,Skilled worker,"1,000 to below 1,500 <80>",2,6,Don't know,50 <96> 249,2,0,0.5,0.6666666666666666,0,0.625,NA,NA,NA,4,1,3,3,4,4,1,1,3,4,2,3,1,3,3,3,1
421293544,4,0,1,1,1,1,1,1,3,5,NA,57,1,50-59,Female,Niedersachsen,1,"Single, without partner",Roman Catholic,13,Retired,"500 to below 1,000 <80>",1,2,Don't know,50 <96> 249,2,0,0,0,0.3333333333333333,0.375,NA,NA,NA,2,1,2,3,3,1,2,3,2,2,2,1,2,3,2,2,1
441067147,4,0,1,1,1,1,1,1,1,8,NA,41,0,40-49,Female,Rheinland-Pfalz,1,"With partner, not living together","No, I don't feel close to any religion",19,Employee in low / medium position,No answer,1,6,11-20 kilometers,1 <96> 49,4,0,0.375,0,0.3333333333333333,0.375,NA,NA,NA,2,3,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2
487884642,4,1,1,2,2,2,2,2,3,7,NA,53,0,50-59,Female,Th<fc>ringen,1,"With partner, not living together",Protestant,13,Employee in low / medium position,"1,500 to below 2,000 <80>",1,5,3-5 kilometers,1000 and more,4,0,0.75,0,0.16666666666666666,0.75,NA,NA,NA,2,3,3,4,3,2,3,3,2,2,3,2,2,3,3,3,2
433866743,4,0,4,4,3,1,3,1,2,5,NA,52,1,50-59,Male,Nordrhein-Westfalen,1,Divorced / separated,"No, I don't feel close to any religion",15,Retired,"500 to below 1,000 <80>",1,0 ( BOTTOM ),Don't know,There are no refugees in my town,0,0,0.5,0.6666666666666666,0,0.625,NA,NA,NA,4,4,3,2,2,4,3,2,3,3,3,3,3,3,2,2,3
437589043,4,0,2,1,2,2,1,2,4,5,NA,71,0,60 and older,Female,Rheinland-Pfalz,1,Married,Protestant,12,Retired,"500 to below 1,000 <80>",2,8,Don't know,50 <96> 249,5,28,0.75,1,0.16666666666666666,1,NA,NA,NA,3,3,4,4,4,4,3,3,4,3,4,3,2,3,3,3,4
437757248,4,0,2,1,3,1,1,3,4,7,NA,34,0,30-39,Female,Bayern,1,Married,Roman Catholic,3,Civil servant,"3,500 to below 4,000 <80>",4,7,Less than 3 kilometer,1 <96> 49,5,0,0.5,1,0.8333333333333334,0.75,NA,NA,NA,4,2,4,3,3,3,2,4,4,2,3,3,4,2,2,3,3
443177848,4,1,3,2,2,2,2,2,4,6,NA,67,0,60 and older,Female,Th<fc>ringen,1,Married,Roman Catholic,25,Employee in low / medium position,"1,500 to below 2,000 <80>",2,5,21-50 kilometers,500 <96> 999,5,2,1,1,0.3333333333333333,1,NA,NA,NA,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3
443207343,4,0,3,3,2,3,3,3,2,2,NA,24,1,18-29,Male,Nordrhein-Westfalen,1,"Single, without partner",Protestant,NA,Unskilled worker,"2,000 to below 2,500 <80>",1,8,6-10 kilometers,50 <96> 249,5,46,0.375,0.6666666666666666,0.5,0.75,NA,NA,NA,3,2,3,3,3,3,3,2,2,3,4,2,4,3,4,3,2
477709148,4,1,1,1,1,3,1,2,2,9,NA,69,0,60 and older,Male,Sachsen,1,Married,Protestant,18,Retired,"4,000 to below 4,500 <80>",2,7,3-5 kilometers,1 <96> 49,5,0,0.75,0,0.3333333333333333,0.375,NA,NA,NA,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,1
